SEMANA;CODIGO_COMUNA;PASO
2021-01-25;3102;2
2021-02-01;3102;2
2021-02-08;3102;2
2021-02-15;3102;3
2021-02-22;3102;3
2021-03-01;3102;2
2021-03-08;3102;2
2021-03-15;3102;2
2021-03-22;3102;2
2021-03-29;3102;2
2021-04-05;3102;2
2021-04-12;3102;1
2021-04-19;3102;1
2021-04-26;3102;1
2021-05-03;3102;1
2020-07-27;3103;3
2020-08-03;3103;3
2020-08-10;3103;1
2020-08-17;3103;1
2020-08-24;3103;1
2020-08-31;3103;1
2020-09-07;3103;1
2020-09-14;3103;1
2020-09-21;3103;1
2020-09-28;3103;2
2020-10-05;3103;2
2020-10-12;3103;2
2020-10-19;3103;2
2020-10-26;3103;2
2020-11-02;3103;3
2020-11-09;3103;3
2020-11-16;3103;3
2020-11-23;3103;3
2020-11-30;3103;3
2020-12-07;3103;3
2020-12-14;3103;4
2020-12-21;3103;4
2020-12-28;3103;4
2021-01-04;3103;3
2021-01-11;3103;2
2021-01-18;3103;2
2021-01-25;3103;2
2021-02-01;3103;1
2021-02-08;3103;1
2021-02-15;3103;1
2021-02-22;3103;1
2021-03-01;3103;2
2021-03-08;3103;2
2021-03-15;3103;2
2021-03-22;3103;3
2021-03-29;3103;3
2021-04-05;3103;2
2021-04-12;3103;2
2021-04-19;3103;2
2021-04-26;3103;2
2021-05-03;3103;2
2020-07-27;3201;3
2020-08-03;3201;3
2020-08-10;3201;3
2020-08-17;3201;3
2020-08-24;3201;3
2020-08-31;3201;3
2020-09-07;3201;3
2020-09-14;3201;3
2020-09-21;3201;3
2020-09-28;3201;3
2020-10-05;3201;3
2020-10-12;3201;3
2020-10-19;3201;3
2020-10-26;3201;3
2020-11-02;3201;3
2020-11-09;3201;3
2020-11-16;3201;3
2020-11-23;3201;3
2020-11-30;3201;3
2020-12-07;3201;3
2020-12-14;3201;4
2020-12-21;3201;4
2020-12-28;3201;4
2021-01-04;3201;4
2021-01-11;3201;3
2021-01-18;3201;2
2021-01-25;3201;2
2021-02-01;3201;2
2021-02-08;3201;2
2021-02-15;3201;3
2021-02-22;3201;2
2021-03-01;3201;2
2021-03-08;3201;1
2021-03-15;3201;1
2021-03-22;3201;1
2021-03-29;3201;1
2021-04-05;3201;1
2021-04-12;3201;1
2021-04-19;3201;1
2021-04-26;3201;2
2021-05-03;3201;2
2020-07-27;3202;3
2020-08-03;3202;3
2020-08-10;3202;3
2020-08-17;3202;3
2020-08-24;3202;3
2020-08-31;3202;3
2020-09-07;3202;3
2020-09-14;3202;3
2020-09-21;3202;3
2020-09-28;3202;3
2020-10-05;3202;3
2020-10-12;3202;3
2020-10-19;3202;3
2020-10-26;3202;3
2020-11-02;3202;3
2020-11-09;3202;3
2020-11-16;3202;3
2020-11-23;3202;3
2020-11-30;3202;3
2020-12-07;3202;3
2020-12-14;3202;4
2020-12-21;3202;4
2020-12-28;3202;4
2021-01-04;3202;4
2021-01-11;3202;2
2021-01-18;3202;2
2021-01-25;3202;1
2021-02-01;3202;1
2021-02-08;3202;1
2021-02-15;3202;2
2021-02-22;3202;2
2021-03-01;3202;2
2021-03-08;3202;3
2021-03-15;3202;2
2021-03-22;3202;1
2021-03-29;3202;1
2021-04-05;3202;1
2021-04-12;3202;1
2021-04-19;3202;1
2021-04-26;3202;1
2021-05-03;3202;2
2020-07-27;3301;3
2020-08-03;3301;3
2020-08-10;3301;3
2020-08-17;3301;3
2020-08-24;3301;3
2020-08-31;3301;3
2020-09-07;3301;1
2020-09-14;3301;1
2020-09-21;3301;1
2020-09-28;3301;1
2020-10-05;3301;1
2020-10-12;3301;1
2020-10-19;3301;1
2020-10-26;3301;2
2020-11-02;3301;3
2020-11-09;3301;3
2020-11-16;3301;3
2020-11-23;3301;3
2020-11-30;3301;3
2020-12-07;3301;3
2020-12-14;3301;4
2020-12-21;3301;4
2020-12-28;3301;4
2021-01-04;3301;4
2021-01-11;3301;3
2021-01-18;3301;2
2021-01-25;3301;2
2021-02-01;3301;2
2021-02-08;3301;2
2021-02-15;3301;2
2021-02-22;3301;3
2021-03-01;3301;3
